?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZFA_0009331>	"A B cell that is mature, having left the bone marrow. Initially, these cells are IgM-positive and IgD-positive, and they can be activated by antigen."	"CL:0000785 TAO:0009331"
<http://purl.obolibrary.org/obo/ZFA_0001386>	"Mesoderm part of pelvic fin bud."	"TAO:0001386"
<http://purl.obolibrary.org/obo/ZFA_0000091>	"Notochord rudiment."	"TAO:0000091 TAO:0001219"
<http://purl.obolibrary.org/obo/ZFA_0009400>	"An epithelial cell of the esophagus."	"CL:0002252"
<http://purl.obolibrary.org/obo/ZFA_0000272>	"System responsible for the exchange of gases across the gill membranes."	"TAO:0000272"
<http://purl.obolibrary.org/obo/ZFA_0001555>	"Cranial ganglion which develops from an epibranchial placode."	"TAO:0001555"
<http://purl.obolibrary.org/obo/ZFA_0009372>	"Epithelial cell part of duct."	"CL:0000068"
<http://purl.obolibrary.org/obo/ZFA_0001600>	"Neural spine that is located on the fourth vertebra."	"TAO:0001546"
<http://purl.obolibrary.org/obo/ZFA_0005861>	"Joint that articulates the opercle and they hyosymplectic.  The opercle-hyosymplectic joint is paired."	
<http://purl.obolibrary.org/obo/ZFA_0000221>		"TAO:0000221"
<http://purl.obolibrary.org/obo/ZFA_0000955>	"Ventromedial region of somite 18 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0000955"
<http://purl.obolibrary.org/obo/ZFA_0005731>	"Cranial motor neuron which innervates muscles derived from the branchial (pharyngeal) arches."	"CL:0005023"
<http://purl.obolibrary.org/obo/ZFA_0001559>		"TAO:0001559"
<http://purl.obolibrary.org/obo/ZFA_0000423>	"Vein that joins with the posterior cardinal vein to form the common cardinal vein.  The anterior cardinal vein (ACV) connects to the primordial hindbrain channel at early stages. At later stages the posterior cerebral vein (PCeV) and the pectoral vein (PV) drain into ACV.  The rostral portion of the ACV connects to the primary head sinus (PHS) at 2.5dpf, the PHS is sometimes considered an extension of the ACV."	"TAO:0000423"
<http://purl.obolibrary.org/obo/ZFA_0000355>	"Roof plate that is part of the midbrain."	"TAO:0000355"
<http://purl.obolibrary.org/obo/ZFA_0005885>	"Ligament that connects the anterior apex of the opercle to the posterior end of the ceratohyal.  The ligament extends orthogonal and anterior to the opercle."	
<http://purl.obolibrary.org/obo/ZFA_0005949>	"Lymph vessel located in the heart."	
<http://purl.obolibrary.org/obo/ZFA_0005052>	"Arteries that irrigate rostral regions of the midbrain. They extend between the basal communicating artery to the anterior cerebral vein."	"TAO:0005052"
<http://purl.obolibrary.org/obo/ZFA_0000735>	"Paired, ventromedially directed processes on the posterior ends of the centra, ligamentously joined to the hemal postzygapophyses of the immediately posterior vertebra. The most posterior caudal vertebrae lack hemal postzygapophyses."	"TAO:0000735"
<http://purl.obolibrary.org/obo/ZFA_0001655>	"Anatomical space in which the heart is located and is surrounded by the pericardium."	"TAO:0002220"
<http://purl.obolibrary.org/obo/ZFA_0000531>		"TAO:0000531"
<http://purl.obolibrary.org/obo/ZFA_0005425>	"A multi-tissue structure that is comprised of a secretory epithelial layer and a connective tissue layer."	"TAO:0005425"
<http://purl.obolibrary.org/obo/ZFA_0005168>	"Vein that is central to a lobule in the liver."	"TAO:0005168"
<http://purl.obolibrary.org/obo/ZFA_0005394>	"Sensory canal  that forms dorsal to the horizontal semicircular canal of the ear. The anterior end of the canal may span or remain posterior to the pterotic-sphenotic junction. The posterior end of the postotic canal meets the temporal and supratemporal canals. The canal lies between and in close proximity to the trunk sensory canal and anteriorly with the otic and preoperculo-mandibular sensory canals. The post-otic sensory canal is bilaterally paired and when mature is fully enclosed in bone."	"TAO:0001619"
<http://purl.obolibrary.org/obo/ZFA_0009277>	"A secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus)."	"CL:0000622 TAO:0009277"
<http://purl.obolibrary.org/obo/ZFA_0001668>	"Peripheral nucleus of the ventral telencephalon which is located immediately lateral to the dorsal nucleus of the ventral telencephalon. From Neuroanatomy of the Zebrafish Brain."	"TAO:0002180"
<http://purl.obolibrary.org/obo/ZFA_0001450>	"Apical ectodermal ridge that is part of the pelvic fin."	"TAO:0001450"
<http://purl.obolibrary.org/obo/ZFA_0005700>	"One of two large glomeruli located in the medial side of the ventroposterior zone olfactory bulb."	
<http://purl.obolibrary.org/obo/ZFA_0000725>	"Undifferentiated mesodermal component of early trunk segment 11 or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome."	"TAO:0000725"
<http://purl.obolibrary.org/obo/ZFA_0000763>	"Floor plate that is part of the rhombomere 2."	"TAO:0000763"
<http://purl.obolibrary.org/obo/ZFA_0001425>		"TAO:0001425"
<http://purl.obolibrary.org/obo/ZFA_0001487>	"Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body."	"CARO:0000004 TAO:0001487"
<http://purl.obolibrary.org/obo/ZFA_0000094>	"Nests of developing blood cells arising late in the segmentation period from the intermediate mass, and located in the anterior-ventral tail, just posterior to the yolk extension."	"TAO:0000094"
<http://purl.obolibrary.org/obo/ZFA_0000390>	"Preglomerular nucleus which is located between the lateral and caudal preglomerular nuclei of the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000390"
<http://purl.obolibrary.org/obo/ZFA_0005868>	"Rostral cell mass bordering the pretectum.  The cells are stained with the gene nurod and are Hu positive.  The region is named for its presumed  homology to the avian griseum tectale."	
<http://purl.obolibrary.org/obo/ZFA_0005020>	"Artery that irrigates the forebrain and midbrain."	"TAO:0005020"
<http://purl.obolibrary.org/obo/ZFA_0001640>	"Ventral bend in the brain occurring caudal to the adenohypophyseal placode."	"TAO:0002181"
<http://purl.obolibrary.org/obo/ZFA_0000485>	"Diencephalic nucleus which is part of the inferior lobe of the hypothalamus and consists of masses of large cells presumably migrated from the periventricular cell masses and receives signals from the secondary gustatory nucleus. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000485"
<http://purl.obolibrary.org/obo/ZFA_0005008>	"Aortic arch that is part of pharyngeal arch 4. The paired aortic arch 4 arteries branch directly from the ventral aorta to the lateral dorsal aorta, and are retained as the branchial arteries providing circulation through the gills in the adult."	"TAO:0005008"
<http://purl.obolibrary.org/obo/ZFA_0001614>	"Endocardium that is part of the atrium."	"TAO:0002169"
<http://purl.obolibrary.org/obo/ZFA_0005466>	"Joint that articulates the ceratohyal and ventral hypohyal bones. Ceratohyal-ventral hypohyal joint is paired."	"TAO:0001844"
<http://purl.obolibrary.org/obo/ZFA_0000662>		"TAO:0000662"
<http://purl.obolibrary.org/obo/ZFA_0005109>	"Lymph vessel that connects the lateral facial lymph vessel to the thoracic duct near the common cardinal vein."	"TAO:0005109"
<http://purl.obolibrary.org/obo/ZFA_0005414>	"The portion of organism substance that is an extracellular fluid that has a high potassium and sodium concentration. It bathes the hair cells and is thought to be generated by the semicircular canal epithelium."	"TAO:0005414"
<http://purl.obolibrary.org/obo/ZFA_0007105>	"Vertebra that is posteriorly adjacent to vertebra 21."	
<http://purl.obolibrary.org/obo/ZFA_0005608>	"Fibrous joint connecting the frontal bone to the parietal bone.  This joint remains patent in zebrafish throughout their lifetime."	"TAO:0005255"
<http://purl.obolibrary.org/obo/ZFA_0000374>	"Otolith organ comprised of the macula lagena and asteriscus.  The lagena is part of the pars inferior. The lagena functions in the detection of sound."	"TAO:0000374"
<http://purl.obolibrary.org/obo/ZFA_0005882>	"Structure in the testis formed by cytoplasmic projections of one or two Sertoli cells that surround a single spermatogonium.  Sperm production occurs with in the cyst and the spermatogonium divides to generate approximately 1300 mature sperm.  A given Sertoli cell is in contact with only one germ cell clone."	
<http://purl.obolibrary.org/obo/ZFA_0005087>	"Vein from the pectoral fin that drains into the ACV just cranial to the ACV-CCV junction."	"TAO:0005087"
<http://purl.obolibrary.org/obo/ZFA_0005899>	"The initial growth point of the scale.  In zebrafish the focus is on the anterior edge of the scale."	
<http://purl.obolibrary.org/obo/ZFA_0000224>		
<http://purl.obolibrary.org/obo/ZFA_0000734>	"Vertebra which are the three most posterior vertebra supporting the caudal fin."	"TAO:0000734"
<http://purl.obolibrary.org/obo/ZFA_0005927>	"Blood vessel endothelium that restricts the passage of circulating substances from  the blood to the brain parenchyma while actively facilitating the passage of nutrients and removal of waste products.  The developing blood brain barrier undergoes a period of transcytosis and leaks that decrease as the mature form is established.  The barrier matures in a posterior to anterior direction."	
<http://purl.obolibrary.org/obo/ZFA_0005281>	"The part of the nephron that filters blood."	"TAO:0005281"
<http://purl.obolibrary.org/obo/ZFA_0009096>	"A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions."	"TAO:0009096 CL:0000163"
<http://purl.obolibrary.org/obo/ZFA_0001138>	"Sensory system responsible for the perception of spatial orientation and auditory stimuli."	"TAO:0001138"
<http://purl.obolibrary.org/obo/ZFA_0005405>	"Seventh lepidotrichium of anal fin."	"TAO:0001775"
<http://purl.obolibrary.org/obo/ZFA_0005878>	"An undifferentiated germ cell that proliferates rapidly and gives rise to oocytes. In zebrafish oogonia are round cells, with centrally located nucleoli, which are strongly basophilic. Oogonia in larva zebrafish fish are often found in clusters of two or four cells, corresponding to the second, or third oogonial divisions, presumably arising from mitotic divisions of primordial germ cells."	"CL:0000024"
<http://purl.obolibrary.org/obo/ZFA_0007032>	"Portion of  neural rod  that gives rise to the midbrain neural tube."	"TAO:0007032"
<http://purl.obolibrary.org/obo/ZFA_0005141>	"Material in the center of the dentine of the mature tooth.  In secondary teeth the pulp contains blood vessels and odontoblast."	"TAO:0005141"
<http://purl.obolibrary.org/obo/ZFA_0009132>	"A cell whose primary function is to prevent the transport of stuff across compartments."	"TAO:0009132 CL:0000215"
<http://purl.obolibrary.org/obo/ZFA_0000230>	"Muscle that attaches to the parhypurpophyses. The muscle inserts on the upper three to five caudal fin rays."	"TAO:0000230"
<http://purl.obolibrary.org/obo/ZFA_0009342>	"A distinctly differentiated long-lived T cell that has the phenotype CD45RO-positive and CD127-positive."	"CL:0000813 TAO:0009342"
<http://purl.obolibrary.org/obo/ZFA_0009119>	"The peripheral receptor for pain. Includes receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli. All mammalian nociceptors are free nerve endings."	"CL:0000198 TAO:0009119"
<http://purl.obolibrary.org/obo/ZFA_0000877>	"Fast muscle cell located in somite 14."	"TAO:0000877"
<http://purl.obolibrary.org/obo/ZFA_0009352>	"A progenitor cell of the neutrophil lineage."	"TAO:0009352 CL:0000834"
<http://purl.obolibrary.org/obo/ZFA_0000506>	"Telencephalic nucleus which is the most dorsally located part of the dorsal telencephalon and surrounds the central zone of dorsal telencephalon. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000506"
<http://purl.obolibrary.org/obo/ZFA_0005231>	"Is a spinal interneuron that has an axon that splits into roughly equal size branches."	"TAO:0005231"
<http://purl.obolibrary.org/obo/ZFA_0000968>	"The hypaxial region of somite 21 derived body wall muscle. The hypaxial region is ventral to the horizontal myoseptum."	"TAO:0000968"
<http://purl.obolibrary.org/obo/ZFA_0007080>	"Is a vasculature that delivers fluid to the maxillary barbel."	
<http://purl.obolibrary.org/obo/ZFA_0000264>	"Dermal bone that is part of the opercular flap and bears the preopercular sensory canal. The preopercle is a paired bone and typically L-shaped, with the horizontal limb overlying the interopercle and the vertical limb overlying the opercle."	"TAO:0000264"
<http://purl.obolibrary.org/obo/ZFA_0001357>	"Portion of tissue that is ventrolateral to the roof plate and part of the midbrain."	"TAO:0001357"
<http://purl.obolibrary.org/obo/ZFA_0000709>		"TAO:0000709"
<http://purl.obolibrary.org/obo/ZFA_0001019>	"Portion of somite 28 that gives rise to body wall muscle masses."	"TAO:0001019"
<http://purl.obolibrary.org/obo/ZFA_0000028>	"Bilateral groups of cells consisting of three rows: one row of endocardial precursors medially and two rows of myocardial precursors laterally. The two populations fuse at the midline between 21 and 26 somites to form the heart rudiment or cone."	"TAO:0000028"
<http://purl.obolibrary.org/obo/ZFA_0005568>	"Blood vessels within the stroma of the iris.  The vessels cluster  and are more dense at the base of the stroma where the iris is thicker."	
<http://purl.obolibrary.org/obo/ZFA_0000354>	"Compound organ that consists of gill filaments, gill lamellae, gill rakers and pharyngeal arches 3-7. The gills are responsible for primary gas exchange between the blood and the surrounding water."	"TAO:0000354"
<http://purl.obolibrary.org/obo/ZFA_0005959>	"Vertebrae that are posterior to the preural vertebrae.  There is disagreement whether the diural interpretation or polyural interpretation of the caudal skeleton is what is observed in zebrafish. These two interpretations lead to differences in counting the ural vertebrae.   Diural interpretations consider the basic bauplan of the caudal fin to be composed of an anterior centrum (preural centrum 1 + ural centrum 1) supporting the parhypural and hypurals 1 and 2 and a posterior centrum supporting hypurals 3 -5 or 3-6  with variations in hypural number due to fusion or loss. From the polyural perspective, the teleost caudal fin is considered an evolutionary derivation of a fully metameristic caudal fin in which each hypural is supported by a single ural centrum with its own neural arch."	
<http://purl.obolibrary.org/obo/ZFA_0000088>	"Peripheral layer of the yolk cell including nuclei and non-yolky cytoplasm."	"TAO:0000088"
<http://purl.obolibrary.org/obo/ZFA_0005101>	"Vessels that travel between veins in adjacent rays."	"TAO:0005101"
<http://purl.obolibrary.org/obo/ZFA_0000652>	"The afferent sensory portion of the spinal nerve root."	"TAO:0000652"
<http://purl.obolibrary.org/obo/ZFA_0000528>	"Muscle of the caudal fin that attaches to the appendicular skeleton and attaches to the first long ray on the dorsal side of the caudal fin."	"TAO:0000528"
<http://purl.obolibrary.org/obo/ZFA_0000708>		"TAO:0000708"
<http://purl.obolibrary.org/obo/ZFA_0005421>	"Joint that articulates the autopalatine cartilage or bone and maxilla."	"TAO:0001942"
<http://purl.obolibrary.org/obo/ZFA_0000810>	"Portion of somite 7 that gives rise to body wall muscle masses."	"TAO:0000810"
<http://purl.obolibrary.org/obo/ZFA_0000988>	"The hypaxial region of somite 5 derived body wall muscle. The hypaxial region is ventral to the horizontal myoseptum."	"TAO:0000988"
<http://purl.obolibrary.org/obo/ZFA_0005567>	"Anatomical cluster comprising the caudal portion of the eye: the retina, posterior chamber, optic choroid, and vitreous."	
<http://purl.obolibrary.org/obo/ZFA_0000863>	"Anatomical cluster that is part of the cranium and composed of dermally derived bones."	"TAO:0000863"
<http://purl.obolibrary.org/obo/ZFA_0007092>	"Premigratory trunk neural crest population that develops from the neural plate border. The cells of this group will undergo epithelial to mesenchymal transition and delaminate to produce the migratory trunk neural crest."	
<http://purl.obolibrary.org/obo/ZFA_0001498>	"Unilaminar epithelium that consists of a single layer of squamous cells."	"TAO:0001498 CARO:0000070"
<http://purl.obolibrary.org/obo/ZFA_0005215>	"Midbrain interneuron at the medial position in the lateral midbrain."	"TAO:0005215"
<http://purl.obolibrary.org/obo/ZFA_0009122>		
<http://purl.obolibrary.org/obo/ZFA_0000379>	"Portion of the lateral forebrain bundle that lies in the diencephalon."	"TAO:0000379"
<http://purl.obolibrary.org/obo/ZFA_0001078>	"Paired organ where maturation of T-lymphocytes occurs. The adult thymus located on the dorsomedial aspect of the branchial cavity above the third pharyngeal cartilage.  The thymus undergoes a period of rapid growth beginning at about the third week and continuing for several more weeks. Accompanying this growth is a dramatic change in the shape of the thymus. It is ovoid initially and then starts to grow dorsally along the skull, forming a characteristic protrusion. During this growth period the adult pattern of rag1-positive cortex and rag1-negative medulla becomes established. The  protrusions diminish with age and the thymus gradually shrinks; at two years, the thymus is again confined to the pharynx with minimal if any protrusion."	"TAO:0001078"
<http://purl.obolibrary.org/obo/ZFA_0001693>	"Replacement bone that forms within or surrounding a cartilaginous skeletal element."	
<http://purl.obolibrary.org/obo/ZFA_0000245>	"Sensory trigeminal nucleus that lies at the mediodorsal edge of the descending trigeminal root (DV).  This nucleus is not clearly delineated."	"TAO:0000245"
<http://purl.obolibrary.org/obo/ZFA_0009253>	"A precursor in the monocytic series, being a cell intermediate in development between the monoblast and monocyte."	"CL:0000559 TAO:0009253"
<http://purl.obolibrary.org/obo/ZFA_0005248>	"Vein segment that connects the PCeVs in the choroid plexus."	"TAO:0005248"
<http://purl.obolibrary.org/obo/ZFA_0005133>	"The mesentery that originates from the ventral side of the peritoneal cavity."	"TAO:0005133"
<http://purl.obolibrary.org/obo/ZFA_0009275>	"One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision."	"CL:0000604 TAO:0009275"
<http://purl.obolibrary.org/obo/ZFA_0005428>	"Foramen in the orbital region of the neurocranium for the passage of the optic nerve (cranial nerve II)."	"TAO:0002025"
<http://purl.obolibrary.org/obo/ZFA_0000580>	"Preglomerular nucleus which is the most rostrolaterally located of the preglomerular nuclei of the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000580"
<http://purl.obolibrary.org/obo/ZFA_0005015>	"Arterioles which take blood from the afferent filamental arteries to the gill lamella."	"TAO:0005015"
<http://purl.obolibrary.org/obo/ZFA_0000894>	"The hypaxial region of somite 15 derived body wall muscle. The hypaxial region is ventral to the horizontal myoseptum."	"TAO:0000894"
<http://purl.obolibrary.org/obo/ZFA_0000096>	"Blood vasculature comprised of the cardinal veins."	"TAO:0000096"
<http://purl.obolibrary.org/obo/ZFA_0001540>	"Small cartilage that forms at the posterior and medial edge of the basipterygium."	"TAO:0001540"
<http://purl.obolibrary.org/obo/ZFA_0001273>	"The ventral portion of the first pharyngeal arch, comprising the lower jaw."	"TAO:0001273"
<http://purl.obolibrary.org/obo/ZFA_0005470>	"Joint between the right and left coracoid bones of the pectoral girdle."	"TAO:0002040"
<http://purl.obolibrary.org/obo/ZFA_0005807>	"Anatomical space within the intestine where digestion normally occurs.  The intestinal lumen begins as an interconnected web of small space at 43 hpf that over time remodels to form a single continuous tube at 68hpf.  Lumen maturation proceeds from anterior to posterior along the intestine."	
<http://purl.obolibrary.org/obo/ZFA_0000461>	"A group of modified neural arches and spines of the first four vertebrae. These include, from anterior to posterior, the claustrum, scaphium, intercalarium, and tripus. The os suspensorium is considered to be a fifth ossicle."	"TAO:0000461"
<http://purl.obolibrary.org/obo/ZFA_0005870>	"Proliferative zone on the ventral side of the cerebellar plate."	
<http://purl.obolibrary.org/obo/ZFA_0005409>	"The dorsal part of the ear. Comprises the three semicircular canals, which connect to the utricle."	"TAO:0005409"
<http://purl.obolibrary.org/obo/ZFA_0009328>	"Any of the immature forms of a neutrophil in which neutrophilic specific granules are present but other phenotypic features of the mature form may be lacking. A neutrophil is a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes."	"CL:0000776 TAO:0009328"
<http://purl.obolibrary.org/obo/ZFA_0005275>	"Fin muscle that is located on the anterior edge of the fin. Arrector muscles change the angle of the leading edge of the fin during swimming."	"TAO:0002147"
<http://purl.obolibrary.org/obo/ZFA_0001248>		
<http://purl.obolibrary.org/obo/ZFA_0001159>	"System that provides protection against foreign and abnormal cells and removes cellular debris."	"TAO:0001159"
<http://purl.obolibrary.org/obo/ZFA_0000959>	"Ventromedial region of somite 26 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0000959"
<http://purl.obolibrary.org/obo/ZFA_0005713>	"Glomerulus located in the mediodorsal zone of the olfactory bulb. .  This glomerulus expresses a protein that cross reacts with antibodies raised against GNAO1.  It is the  dorsal to mdG6 on the rostral edge of the mediodorsal cluster."	
<http://purl.obolibrary.org/obo/ZFA_0000570>	"Portion of tissue that is part of the anterior neural keel and will form the optic vesicle."	"TAO:0000570"
<http://purl.obolibrary.org/obo/ZFA_0005369>	"Dorsal fin pterygiophore that is caudal to  pterygiophore 5 of the dorsal fin."	"TAO:0005369"
<http://purl.obolibrary.org/obo/ZFA_0005027>	"Vein that drains the dorsal longitudinal vessel and the caudal portions of the venous capillary network of the medulla oblongata."	"TAO:0005027"
<http://purl.obolibrary.org/obo/ZFA_0005853>	"Ceratobranchial 5 tooth which is the posteriormost tooth in the ventral tooth row. This tooth develops from the dental epithelium  at the position of  primary tooth 5V."	
<http://purl.obolibrary.org/obo/ZFA_0000163>	"System that removes and collects metabolic waste from the blood while maintaining ion homeostasis."	"TAO:0000163"
